x_m,y_m,yaw_rad,duration_s
0.0,0.0,0.0,4.0
0.0,0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
-0.0,-0.0,1.570796,4.0
0.0,-0.0,-1.570796,4.0
0.0,0.0,0.0,4.0
