x_m,y_m,yaw_rad,duration_s
0,0,0.0,4.0
-0.225,0.21,0.0,4.0
-0.45,0,-0.0,4.0
-0.225,-0.21,0.0,4.0
0,0,0.0,4.0
0.225,0.21,-0.0,4.0
0.45,0,0.0,4.0
0.225,-0.21,-0.0,4.0
-0.225,0.21,0.0,4.0
-0.45,0,-0.0,4.0
-0.225,-0.21,0.0,4.0
0,0,0.0,4.0
0.225,0.21,-0.0,4.0
0.45,0,0.0,4.0
0.225,-0.21,-0.0,4.0
-0.225,0.21,0.0,4.0
-0.45,0,-0.0,4.0
-0.225,-0.21,0.0,4.0
0,0,0.0,4.0
0.225,0.21,-0.0,4.0
0.45,0,0.0,4.0
0.225,-0.21,-0.0,4.0
-0.225,0.21,0.0,4.0
-0.45,0,-0.0,4.0
-0.225,-0.21,0.0,4.0
0,0,0.0,4.0
0.225,0.21,-0.0,4.0
0.45,0,0.0,4.0
0.225,-0.21,-0.0,4.0
-0.225,0.21,0.0,4.0
-0.45,0,-0.0,4.0
-0.225,-0.21,0.0,4.0
0,0,0.0,4.0
0.225,0.21,-0.0,4.0
0,0,0.0,4.0
