x_m,y_m,yaw_rad,duration_s
0,0,0,4
0.315,0.12,0.1,4
0.45,0.3,0.2,4
-0.225,0.24,0.3,4
-0.36,-0.18,0.4,4
0.18,-0.3,0.5,4
0.315,0.12,0.6,4
0.45,0.3,0.7,4
-0.225,0.24,0.8,4
-0.36,-0.18,0.9,4
0.18,-0.3,1,4
0.315,0.12,0.9,4
0.45,0.3,0.8,4
-0.225,0.24,0.7,4
-0.36,-0.18,0.5,4
0.18,-0.3,0.4,4
0.315,0.12,0.2,4
0.45,0.3,0.1,4
-0.225,0.24,0,4
-0.36,-0.18,-0.1,4
0.18,-0.3,-0.3,4
0.315,0.12,-0.4,4
0.45,0.3,-0.3,4
-0.225,0.24,-0.2,4
-0.36,-0.18,0,4
0.18,-0.3,0.2,4
0.315,0.12,0.4,4
0.45,0.3,0.5,4
-0.225,0.24,0.7,4
-0.36,-0.18,0.5,4
0.18,-0.3,0.4,4
0.315,0.12,0.2,4
0.45,0.3,0,4
-0.225,0.24,0,4
0,0,0,4
