trajectory_id,filename,family,primary_dof,coupling,point_count,duration_s,expected_total_s,x_min_m,x_max_m,y_min_m,y_max_m,yaw_min_rad,yaw_max_rad
001,001_x_primary.csv,x_primary,x,x_only,5,6.0,30.0,-1.1,0.385,0.0,0.0,0.0,0.0
002,002_x_primary.csv,x_primary,x,x_only,5,6.0,30.0,-0.95,0.3325,0.0,0.0,0.0,0.0
003,003_x_primary.csv,x_primary,x,x_only,5,6.0,30.0,-0.85,0.2975,0.0,0.0,0.0,0.0
004,004_x_primary.csv,x_primary,x,x_only,5,6.0,30.0,-0.65,0.2275,0.0,0.0,0.0,0.0
005,005_x_primary.csv,x_primary,x,x_only,5,6.0,30.0,-0.45,0.1575,0.0,0.0,0.0,0.0
006,006_x_primary.csv,x_primary,x,x_only,5,8.0,40.0,-0.1575,0.45,0.0,0.0,0.0,0.0
007,007_x_primary.csv,x_primary,x,x_only,5,8.0,40.0,-0.2275,0.65,0.0,0.0,0.0,0.0
008,008_x_primary.csv,x_primary,x,x_only,5,8.0,40.0,-0.2975,0.85,0.0,0.0,0.0,0.0
009,009_x_primary.csv,x_primary,x,x_only,5,4.0,20.0,-0.3325,0.95,0.0,0.0,0.0,0.0
010,010_x_primary.csv,x_primary,x,x_only,5,4.0,20.0,-0.75,0.2625,0.0,0.0,0.0,0.0
011,011_x_primary.csv,x_primary,x,x_only,5,4.0,20.0,-0.2625,0.75,0.0,0.0,0.0,0.0
012,012_x_primary.csv,x_primary,x,x_only,5,4.0,20.0,-0.55,0.1925,0.0,0.0,0.0,0.0
013,013_x_primary.csv,x_primary,x,small_y_yaw,5,4.0,20.0,-0.1925,0.55,-0.08,0.08,-0.18,0.18
014,014_x_primary.csv,x_primary,x,small_y_yaw,5,4.0,20.0,-1.0,0.35,-0.08,0.08,-0.18,0.18
015,015_x_primary.csv,x_primary,x,small_y_yaw,5,4.0,20.0,-0.315,0.9,-0.1,0.1,-0.18,0.18
016,016_x_primary.csv,x_primary,x,small_y_yaw,5,4.0,20.0,-0.7,0.245,-0.1,0.1,-0.25,0.25
017,017_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,6.0,30.0,-1.1,0.385,0.0,0.0,1.570796,1.570796
018,018_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,6.0,30.0,-1.0,0.35,0.0,0.0,1.570796,1.570796
019,019_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,6.0,30.0,-0.9,0.315,0.0,0.0,1.570796,1.570796
020,020_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,6.0,30.0,-0.75,0.2625,0.0,0.0,1.570796,1.570796
021,021_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,6.0,30.0,-0.6,0.21,0.0,0.0,1.570796,1.570796
022,022_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,8.0,40.0,-0.21,0.6,0.0,0.0,1.570796,1.570796
023,023_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,8.0,40.0,-0.2625,0.75,0.0,0.0,1.570796,1.570796
024,024_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,8.0,40.0,-0.315,0.9,0.0,0.0,1.570796,1.570796
025,025_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,4.0,20.0,-0.343,0.98,0.0,0.0,1.570796,1.570796
026,026_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,4.0,20.0,-0.85,0.2975,0.0,0.0,1.570796,1.570796
027,027_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,4.0,20.0,-0.2975,0.85,0.0,0.0,1.570796,1.570796
028,028_y_primary.csv,y_primary,y,body_y_via_yaw_90,5,4.0,20.0,-0.65,0.2275,0.0,0.0,1.570796,1.570796
029,029_y_primary.csv,y_primary,y,small_global_y_yaw,5,4.0,20.0,-1.05,0.3675,-0.08,0.08,1.320796,1.820796
030,030_y_primary.csv,y_primary,y,small_global_y_yaw,5,4.0,20.0,-0.3325,0.95,-0.08,0.08,1.320796,1.820796
031,031_y_primary.csv,y_primary,y,small_global_y_yaw,5,4.0,20.0,-0.7,0.245,-0.1,0.1,1.390796,1.750796
032,032_y_primary.csv,y_primary,y,small_global_y_yaw,5,4.0,20.0,-0.245,0.7,-0.1,0.1,1.320796,1.820796
033,033_yaw_primary.csv,yaw_primary,yaw,yaw_only,16,7.5,120.0,0.0,0.0,0.0,0.0,-2.356194,2.356194
034,034_yaw_primary.csv,yaw_primary,yaw,yaw_only,35,4.0,140.0,0.0,0.0,0.0,0.0,-1.570796,1.570796
035,035_yaw_primary.csv,yaw_primary,yaw,yaw_only,16,8.0,128.0,0.0,0.0,0.0,0.0,-0.785398,0.785398
036,036_yaw_primary.csv,yaw_primary,yaw,yaw_only,16,8.0,128.0,0.0,0.0,0.0,0.0,-0.785398,0.785398
037,037_yaw_primary.csv,yaw_primary,yaw,small_xy,16,6.0,96.0,-0.15,0.15,-0.1,0.1,-1.570796,1.570796
038,038_yaw_primary.csv,yaw_primary,yaw,small_xy,16,7.0,112.0,-0.15,0.15,-0.08,0.08,-2.356194,2.356194
039,039_xy_coupled.csv,xy_coupled,xy,xy_diagonal,16,6.0,96.0,-1.05,0.4725,-0.5,0.5,0.0,0.0
040,040_xy_coupled.csv,xy_coupled,xy,xy_rectangle,16,8.0,128.0,-0.85,0.3825,-0.4,0.18,0.0,0.0
041,041_xy_coupled.csv,xy_coupled,xy,xy_s_curve,16,7.5,120.0,-0.65,0.325,-0.3,0.3,0.0,0.0
042,042_xy_coupled.csv,xy_coupled,xy,xy_figure_eight,35,4.0,140.0,-0.45,0.45,-0.21,0.21,0.0,0.0
043,043_xy_coupled.csv,xy_coupled,xy,xy_diagonal,16,8.0,128.0,-0.2025,0.45,-0.4,0.4,-0.2,0.2
044,044_xy_coupled.csv,xy_coupled,xy,xy_rectangle,16,7.0,112.0,-0.2925,0.65,-0.225,0.5,-0.2,0.2
045,045_xyz_coupled.csv,xyz_coupled,xy_yaw,full_planar,16,8.0,128.0,-1.05,0.84,-0.5,0.5,-2.356194,1.767146
046,046_xyz_coupled.csv,xyz_coupled,xy_yaw,full_planar,16,7.5,120.0,-0.95,0.76,-0.45,0.45,-1.570796,1.178097
047,047_xyz_coupled.csv,xyz_coupled,xy_yaw,full_planar,16,7.0,112.0,-0.85,0.68,-0.4,0.4,-0.785398,0.589049
048,048_xyz_coupled.csv,xyz_coupled,xy_yaw,full_planar,16,6.0,96.0,-0.65,0.52,-0.35,0.35,-0.589049,0.785398
049,049_xyz_coupled.csv,xyz_coupled,xy_yaw,full_planar,16,8.0,128.0,-0.45,0.36,-0.3,0.3,-1.178097,1.570796
050,050_xyz_coupled.csv,xyz_coupled,xy_yaw,full_planar,35,4.0,140.0,-0.36,0.45,-0.3,0.3,-1.767146,2.356194
