x_m,y_m,yaw_rad,duration_s
0.0,0.0,0.0,6.0
0.75,0.0,2.5433731743293393,6.0
0.501,0.1697,3.025150086417236,6.0
-0.1,0.24,-3.0251500864172365,6.0
-0.701,0.1697,-2.5433731743293393,6.0
-0.95,0.0,-0.5982194792604538,6.0
-0.701,-0.1697,-0.11644256717255708,6.0
-0.1,-0.24,0.11644256717255708,6.0
0.501,-0.1697,0.5982194792604538,6.0
0.75,0.0,-3.141592653589793,6.0
0.0,0.0,0.0,6.0
0.75,0.0,2.5433731743293393,6.0
0.501,0.1697,3.025150086417236,6.0
-0.1,0.24,-3.0251500864172365,6.0
-0.701,0.1697,-2.5433731743293393,6.0
-0.95,0.0,-0.5982194792604538,6.0
-0.701,-0.1697,-0.11644256717255708,6.0
-0.1,-0.24,0.11644256717255708,6.0
0.501,-0.1697,0.5982194792604538,6.0
0.75,0.0,-3.141592653589793,6.0
0.0,0.0,0.0,6.0
