x_m,y_m,yaw_rad,duration_s
0,0,0.5597276742984576,3
0.2627,0.1646,0.40550297088861864,3
0.4996,0.2663,0,3
0.6877,0.2663,-0.700173446,3
0.8084,0.1646,-1.323246241,3
0.85,0,-1.818346413,3
0.8084,-0.1646,-2.441419207,3
0.6877,-0.2663,-3.141592654,3
0.4996,-0.2663,2.7360896827011745,3
0.2627,-0.1646,2.5818649792913355,3
0,0,0.5597276742984576,3
0.2627,0.1646,0.40550297088861864,3
0.4996,0.2663,0,3
0.6877,0.2663,-0.700173446,3
0.8084,0.1646,-1.323246241,3
0.85,0,-1.818346413,3
0.8084,-0.1646,-2.441419207,3
0.6877,-0.2663,-3.141592654,3
0.4996,-0.2663,2.7360896827011745,3
0.2627,-0.1646,2.5818649792913355,3
0,0,0.5597276742984576,3
