trajectory_id,filename,category,yaw_mode,point_count,duration_s,expected_total_s,x_min_m,x_max_m,y_min_m,y_max_m,yaw_min_rad,yaw_max_rad
001,001_ellipse_fixed.csv,ellipse,fixed,21,6.0,126.0,-0.85,0.65,-0.32,0.32,0.0,0.0
002,002_ellipse_fixed.csv,ellipse,fixed,21,6.0,126.0,-0.65,0.45,-0.48,0.48,1.5707963267948966,1.5707963267948966
003,003_ellipse_tangent.csv,ellipse,tangent,21,6.0,126.0,-0.95,0.75,-0.24,0.24,-3.141592653589793,3.025150086417236
004,004_figure_eight_fixed.csv,figure_eight,fixed,21,6.0,126.0,0.0,0.75,-0.3329,0.3329,0.0,0.0
005,005_figure_eight_tangent.csv,figure_eight,tangent,21,6.0,126.0,0.0,0.85,-0.2663,0.2663,-3.141592653589793,2.7360896827011745
006,006_figure_eight_segmented.csv,figure_eight,segmented,21,6.0,126.0,0.0,0.6,-0.428,0.428,-1.2,1.2
007,007_rectangle_fixed.csv,rectangle,fixed,21,6.0,126.0,-0.85,0.75,-0.45,0.45,0.0,0.0
008,008_rectangle_fixed.csv,rectangle,fixed,21,6.0,126.0,-0.95,0.6,-0.35,0.35,1.5707963267948966,1.5707963267948966
009,009_rectangle_segmented.csv,rectangle,segmented,21,6.0,126.0,-0.75,0.85,-0.3,0.5,-1.2,1.2
010,010_cross_fixed.csv,cross,fixed,21,6.0,126.0,-0.9,0.9,-0.5,0.5,0.0,0.0
011,011_cross_fixed.csv,cross,fixed,21,6.0,126.0,-0.7,0.7,-0.55,0.55,-1.5707963267948966,-1.5707963267948966
012,012_cross_segmented.csv,cross,segmented,21,6.0,126.0,-1.0,1.0,-0.4,0.4,-1.2,1.2
013,013_crescent_fixed.csv,crescent,fixed,21,6.0,126.0,-1.0,0.0,-0.35,0.5,0.0,0.0
014,014_crescent_tangent.csv,crescent,tangent,21,6.0,126.0,-1.0,0.0,-0.35,0.5,-2.7367008673047097,2.7367008673047097
015,015_random_long_step_yaw_limited_45deg.csv,random_long_step,yaw_limited_45deg,21,6.0,126.0,-1.1362,0.9878,-0.4025,0.5384,-3.141025610394272,3.125675196551585
016,016_random_long_step_yaw_limited_45deg.csv,random_long_step,yaw_limited_45deg,21,6.0,126.0,-1.1447,0.9846,-0.5853,0.4744,-3.0798990320843855,1.5442997799660088
017,017_random_long_step_yaw_limited_45deg.csv,random_long_step,yaw_limited_45deg,21,6.0,126.0,-1.0991,0.9645,-0.531,0.5073,-2.66873308126526,3.140926465857209
018,018_random_long_step_yaw_limited_45deg.csv,random_long_step,yaw_limited_45deg,21,6.0,126.0,-1.0944,0.9902,-0.5684,0.5235,-1.7554558261328528,-0.0811258410713438
019,019_random_long_step_yaw_limited_45deg.csv,random_long_step,yaw_limited_45deg,21,6.0,126.0,-1.0828,0.9918,-0.58,0.5758,-2.9661367217128105,-1.1015619210533538
020,020_random_long_step_yaw_limited_45deg.csv,random_long_step,yaw_limited_45deg,21,6.0,126.0,-1.134,0.9732,-0.3725,0.5988,-3.1221040975438923,3.1406269210240856
021,021_random_long_step_yaw_step_45_to_90deg.csv,random_long_step,yaw_step_45_to_90deg,21,7.5,157.5,-1.1303,0.9814,-0.5395,0.5035,-2.8319461774981685,3.1178627583997107
022,022_random_long_step_yaw_step_45_to_90deg.csv,random_long_step,yaw_step_45_to_90deg,21,7.5,157.5,-1.1333,0.9833,-0.5777,0.5464,-2.2967836412128655,2.972257632900818
023,023_random_long_step_yaw_step_45_to_90deg.csv,random_long_step,yaw_step_45_to_90deg,21,7.5,157.5,-1.1313,0.9886,-0.4976,0.5821,-2.729121606948671,3.1318938854088776
024,024_random_long_step_yaw_step_45_to_90deg.csv,random_long_step,yaw_step_45_to_90deg,21,7.5,157.5,-1.132,0.87,-0.5921,0.4786,-3.039738902221181,3.1014120840022734
